p,pLabel,pContent,pAlias,pWikilink,reignstart,reignend,pPicture
http://www.wikidata.org/entity/Q103321,Gregory II,89th Pope of the Roman Catholic Church (from 715 to 731),"Gregorius II. Papa, Gregorius Sabellus, Pope Gregory II, Pope St. Gregory II, Pope, Saint Gregory II, Saint Gregory II",https://en.wikipedia.org/wiki/Pope%20Gregory%20II,,,http://commons.wikimedia.org/wiki/Special:FilePath/Greg2.jpg
http://www.wikidata.org/entity/Q103268,Gregory III,90th Pope of the Roman Catholic Church,Pope Gregory III,https://en.wikipedia.org/wiki/Pope%20Gregory%20III,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Gregory%20III.jpg
http://www.wikidata.org/entity/Q139467,Zachary,pope,Pope Zachary,https://en.wikipedia.org/wiki/Pope%20Zachary,,,http://commons.wikimedia.org/wiki/Special:FilePath/00Zaccaria%20Papa.jpg
http://www.wikidata.org/entity/Q383322,Pope-elect Stephen,a priest of Rome elected pope in March 752,"Pope Stephen II, Stephanus II",https://en.wikipedia.org/wiki/Pope-elect%20Stephen,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Stephen%20%28papacy%20752-757%29.jpg
http://www.wikidata.org/entity/Q211789,Stephen II,pope,Pope Stephen II,https://en.wikipedia.org/wiki/Pope%20Stephen%20II,,,http://commons.wikimedia.org/wiki/Special:FilePath/La%20donacion%20de%20Pipino%20el%20Breve%20al%20Papa%20Esteban%20II.jpg
http://www.wikidata.org/entity/Q103404,Paul I,pope,"Paul, Paulus I, Pope Paul, Pope Paul I",https://en.wikipedia.org/wiki/Pope%20Paul%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20I.jpg
http://www.wikidata.org/entity/Q320531,Stephen III,pope,"Pope Stephanus III, Pope Stephen III, Stephanus III, Stephanus IV",https://en.wikipedia.org/wiki/Pope%20Stephen%20III,,,http://commons.wikimedia.org/wiki/Special:FilePath/StephenIII.jpg
http://www.wikidata.org/entity/Q103292,Adrian I,Pope from 772 to 795,"Adrian, Pope Adrian, Hadrianus I, Pope Adrian I",https://en.wikipedia.org/wiki/Pope%20Adrian%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Hadrianus%20I.jpg
http://www.wikidata.org/entity/Q132086,Leo III,pope,"Papa Leo III, Pope Leo III",https://en.wikipedia.org/wiki/Pope%20Leo%20III,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Leone%20III.jpg
http://www.wikidata.org/entity/Q193854,Stephen IV,pope,"Pope Stephen IV, Stephanus V",https://en.wikipedia.org/wiki/Pope%20Stephen%20IV,,,http://commons.wikimedia.org/wiki/Special:FilePath/Stephen%20V.jpg
http://www.wikidata.org/entity/Q103308,Paschal I,pope,"Pascale Massimi, Paschal, Pope Paschal, Pope Paschal I",https://en.wikipedia.org/wiki/Pope%20Paschal%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Paschalis%20I.%20in%20apsis%20mosaic%20of%20Santa%20Prassede%20in%20Rome.gif
http://www.wikidata.org/entity/Q104205,Eugene II,pope,Pope Eugene II,https://en.wikipedia.org/wiki/Pope%20Eugene%20II,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eugene%20II.jpg
http://www.wikidata.org/entity/Q168733,Valentine,pope,Pope Valentine,https://en.wikipedia.org/wiki/Pope%20Valentine,,,http://commons.wikimedia.org/wiki/Special:FilePath/Valentine.jpg
http://www.wikidata.org/entity/Q167052,Gregory IV,Pope from 827 until 844,"Gregorius, Pope Gregory IV",https://en.wikipedia.org/wiki/Pope%20Gregory%20IV,,,http://commons.wikimedia.org/wiki/Special:FilePath/Greg4papa.jpg
http://www.wikidata.org/entity/Q167052,Gregory IV,Pope from 827 until 844,"Gregorius, Pope Gregory IV",https://en.wikipedia.org/wiki/Pope%20Gregory%20IV,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gregory-IV%20Raban-Maur.jpg
http://www.wikidata.org/entity/Q228644,Sergius II,pope,Pope Sergius II,https://en.wikipedia.org/wiki/Pope%20Sergius%20II,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Sergius%20II.jpg
http://www.wikidata.org/entity/Q228205,Leo IV,pope of the Roman Catholic Church,"Pope Leo IV, Pope Saint Leo IV",https://en.wikipedia.org/wiki/Pope%20Leo%20IV,,,http://commons.wikimedia.org/wiki/Special:FilePath/St.Leo%20IV.jpg
